account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
537,current,10/11/14,,,FALSE,FALSE
72,canceled,10/11/14,17/5/15,188,FALSE,TRUE
268,canceled,10/11/14,17/12/14,37,FALSE,TRUE
268,canceled,3/4/15,10/8/15,129,FALSE,TRUE
339,canceled,10/11/14,10/3/15,120,FALSE,TRUE
339,canceled,1/4/15,17/6/15,77,FALSE,TRUE
339,canceled,10/3/15,1/4/15,22,FALSE,TRUE
1244,canceled,10/11/14,14/1/15,65,FALSE,TRUE
1244,current,10/3/15,,,FALSE,FALSE
1244,canceled,14/1/15,10/3/15,55,FALSE,TRUE
1244,canceled,17/3/15,27/4/15,41,FALSE,TRUE
1244,canceled,17/5/15,17/8/15,92,FALSE,TRUE
752,canceled,10/11/14,19/11/14,9,FALSE,TRUE
194,current,10/11/14,,,FALSE,FALSE
520,canceled,10/11/14,17/3/15,127,FALSE,TRUE
102,current,10/11/14,,,FALSE,FALSE
367,canceled,11/11/14,2/4/15,142,FALSE,TRUE
258,canceled,10/11/14,17/7/15,249,FALSE,TRUE
522,current,10/11/14,,,FALSE,FALSE
1047,canceled,10/11/14,11/11/14,1,FALSE,TRUE
329,canceled,10/11/14,14/1/15,65,FALSE,TRUE
329,canceled,10/3/15,8/4/15,29,FALSE,TRUE
329,current,8/4/15,,,FALSE,FALSE
329,canceled,14/1/15,3/2/15,20,FALSE,TRUE
329,canceled,3/2/15,10/3/15,35,FALSE,TRUE
225,current,10/11/14,,,FALSE,FALSE
612,canceled,10/11/14,10/3/15,120,FALSE,TRUE
612,canceled,10/3/15,17/3/15,7,FALSE,TRUE
150,canceled,10/11/14,17/5/15,188,FALSE,TRUE
179,canceled,10/11/14,17/3/15,127,FALSE,TRUE
595,current,10/11/14,,,FALSE,FALSE
587,canceled,10/11/14,14/1/15,65,FALSE,TRUE
587,canceled,14/1/15,17/4/15,93,FALSE,TRUE
587,current,28/5/15,,,FALSE,FALSE
439,canceled,10/11/14,10/3/15,120,FALSE,TRUE
439,current,10/3/15,,,FALSE,FALSE
428,current,10/11/14,,,FALSE,FALSE
18,canceled,10/11/14,17/2/15,99,FALSE,TRUE
544,canceled,10/11/14,17/5/15,188,FALSE,TRUE
10,current,10/11/14,,,FALSE,FALSE
913,canceled,10/11/14,14/1/15,65,FALSE,TRUE
913,canceled,14/1/15,17/2/15,34,FALSE,TRUE
23,current,10/11/14,,,FALSE,FALSE
576,canceled,10/11/14,17/2/15,99,FALSE,TRUE
431,canceled,10/11/14,17/3/15,127,FALSE,TRUE
223,current,10/11/14,,,FALSE,FALSE
480,canceled,10/11/14,10/3/15,120,FALSE,TRUE
480,canceled,10/3/15,1/4/15,22,FALSE,TRUE
480,current,1/4/15,,,FALSE,FALSE
525,canceled,10/11/14,17/7/15,249,FALSE,TRUE
1111,canceled,11/11/14,10/3/15,119,FALSE,TRUE
1111,canceled,10/3/15,1/4/15,22,FALSE,TRUE
1111,canceled,1/4/15,18/4/15,17,FALSE,TRUE
1107,canceled,11/11/14,19/11/14,8,FALSE,TRUE
577,canceled,12/11/14,19/1/15,68,FALSE,TRUE
577,canceled,5/2/15,12/7/15,157,FALSE,TRUE
92,canceled,12/11/14,19/7/15,249,FALSE,TRUE
335,canceled,12/11/14,19/5/15,188,FALSE,TRUE
275,canceled,12/11/14,16/11/14,4,FALSE,TRUE
275,current,16/11/14,,,FALSE,FALSE
930,canceled,13/11/14,17/11/14,4,FALSE,TRUE
245,current,14/11/14,,,FALSE,FALSE
135,current,14/11/14,,,FALSE,FALSE
37,current,14/11/14,,,FALSE,FALSE
740,canceled,14/11/14,15/11/14,1,FALSE,TRUE
740,canceled,11/11/14,13/11/14,2,FALSE,TRUE
186,current,14/11/14,,,FALSE,FALSE
389,current,15/11/14,,,FALSE,FALSE
389,canceled,14/11/14,15/11/14,1,FALSE,TRUE
1218,canceled,15/11/14,15/11/14,0,FALSE,TRUE
693,canceled,15/11/14,14/1/15,60,FALSE,TRUE
693,canceled,14/1/15,23/1/15,9,FALSE,TRUE
770,canceled,15/11/14,19/11/14,4,FALSE,TRUE
88,canceled,15/11/14,10/3/15,115,FALSE,TRUE
88,current,1/4/15,,,FALSE,FALSE
88,canceled,10/3/15,1/4/15,22,FALSE,TRUE
845,canceled,16/11/14,23/11/14,7,FALSE,TRUE
983,canceled,16/11/14,14/1/15,59,FALSE,TRUE
983,canceled,14/1/15,23/1/15,9,FALSE,TRUE
1118,canceled,17/11/14,24/12/14,37,FALSE,TRUE
1118,canceled,12/11/14,17/11/14,5,FALSE,TRUE
499,canceled,17/11/14,17/11/14,0,FALSE,TRUE
499,canceled,6/2/15,13/5/15,96,FALSE,TRUE
590,canceled,3/12/14,3/2/15,62,FALSE,TRUE
590,current,11/5/15,,,FALSE,FALSE
590,canceled,3/2/15,10/3/15,35,FALSE,TRUE
264,canceled,3/12/14,3/2/15,62,FALSE,TRUE
264,canceled,3/2/15,25/2/15,22,FALSE,TRUE
300,current,3/12/14,,,FALSE,FALSE
54,current,3/12/14,,,FALSE,FALSE
1043,canceled,3/12/14,4/12/14,1,FALSE,TRUE
1130,canceled,3/12/14,25/1/15,53,FALSE,TRUE
654,canceled,4/12/14,4/12/14,0,FALSE,TRUE
654,canceled,4/12/14,4/12/14,0,FALSE,TRUE
654,canceled,3/12/14,3/12/14,0,FALSE,TRUE
736,canceled,4/12/14,11/3/15,97,FALSE,TRUE
964,canceled,4/12/14,4/12/14,0,FALSE,TRUE
976,canceled,4/12/14,11/1/15,38,FALSE,TRUE
1203,canceled,4/12/14,9/12/14,5,FALSE,TRUE
278,current,4/12/14,,,FALSE,FALSE
377,current,5/12/14,,,FALSE,FALSE
342,current,5/12/14,,,FALSE,FALSE
358,current,5/12/14,,,FALSE,FALSE
316,canceled,6/12/14,13/6/15,189,FALSE,TRUE
347,canceled,7/12/14,14/3/15,97,FALSE,TRUE
347,current,5/4/15,,,FALSE,FALSE
295,canceled,7/12/14,7/12/14,0,FALSE,TRUE
295,current,3/4/15,,,FALSE,FALSE
343,canceled,7/12/14,14/3/15,97,FALSE,TRUE
1127,canceled,7/12/14,8/12/14,1,FALSE,TRUE
1076,canceled,8/12/14,12/12/14,4,FALSE,TRUE
502,current,8/12/14,,,FALSE,FALSE
502,canceled,15/11/14,21/11/14,6,FALSE,TRUE
1223,canceled,8/12/14,13/12/14,5,FALSE,TRUE
221,canceled,3/12/14,10/2/15,69,FALSE,TRUE
631,canceled,3/12/14,8/12/14,5,FALSE,TRUE
631,canceled,8/5/15,15/7/15,68,FALSE,TRUE
495,current,4/12/14,,,FALSE,FALSE
495,canceled,12/11/14,17/11/14,5,FALSE,TRUE
1009,canceled,5/12/14,12/2/15,69,FALSE,TRUE
364,current,5/12/14,,,FALSE,FALSE
1252,canceled,5/12/14,11/12/14,6,FALSE,TRUE
909,canceled,5/12/14,28/12/14,23,FALSE,TRUE
1156,canceled,6/12/14,8/12/14,2,FALSE,TRUE
524,canceled,6/12/14,3/2/15,59,FALSE,TRUE
524,current,4/3/15,,,FALSE,FALSE
560,current,6/12/14,,,FALSE,FALSE
570,current,7/12/14,,,FALSE,FALSE
581,current,7/12/14,,,FALSE,FALSE
759,canceled,8/12/14,3/2/15,57,FALSE,TRUE
759,canceled,8/4/15,15/4/15,7,FALSE,TRUE
759,canceled,3/2/15,8/4/15,64,FALSE,TRUE
896,canceled,8/12/14,3/2/15,57,FALSE,TRUE
896,canceled,10/3/15,8/4/15,29,FALSE,TRUE
896,canceled,3/2/15,10/3/15,35,FALSE,TRUE
896,current,8/4/15,,,FALSE,FALSE
346,current,8/12/14,,,FALSE,FALSE
346,canceled,5/12/14,5/12/14,0,FALSE,TRUE
411,canceled,8/12/14,3/2/15,57,FALSE,TRUE
411,canceled,10/3/15,8/4/15,29,FALSE,TRUE
411,canceled,3/2/15,10/3/15,35,FALSE,TRUE
411,canceled,8/4/15,15/6/15,68,FALSE,TRUE
705,canceled,8/12/14,14/12/14,6,FALSE,TRUE
705,canceled,8/4/15,28/4/15,20,FALSE,TRUE
776,canceled,8/12/14,3/2/15,57,FALSE,TRUE
557,canceled,8/12/14,3/2/15,57,FALSE,TRUE
557,current,10/3/15,,,FALSE,FALSE
557,canceled,3/2/15,10/3/15,35,FALSE,TRUE
1234,canceled,9/12/14,14/12/14,5,FALSE,TRUE
634,canceled,9/12/14,16/6/15,189,FALSE,TRUE
1124,canceled,9/12/14,3/2/15,56,FALSE,TRUE
1124,current,8/4/15,,,FALSE,FALSE
1124,canceled,3/2/15,8/4/15,64,FALSE,TRUE
932,canceled,9/12/14,16/1/15,38,FALSE,TRUE
817,canceled,9/12/14,9/12/14,0,FALSE,TRUE
169,canceled,9/12/14,14/12/14,5,FALSE,TRUE
169,canceled,5/2/15,12/8/15,188,FALSE,TRUE
350,current,7/1/15,,,FALSE,FALSE
345,current,7/1/15,,,FALSE,FALSE
1171,canceled,7/1/15,7/1/15,0,FALSE,TRUE
530,current,7/1/15,,,FALSE,FALSE
383,current,7/1/15,,,FALSE,FALSE
1271,canceled,7/1/15,13/1/15,6,FALSE,TRUE
229,canceled,7/1/15,14/6/15,158,FALSE,TRUE
876,canceled,8/1/15,11/1/15,3,FALSE,TRUE
622,canceled,8/1/15,15/6/15,158,FALSE,TRUE
1065,canceled,8/1/15,11/1/15,3,FALSE,TRUE
884,canceled,8/1/15,8/1/15,0,FALSE,TRUE
730,canceled,8/1/15,30/1/15,22,FALSE,TRUE
905,canceled,8/1/15,15/3/15,66,FALSE,TRUE
356,current,9/1/15,,,FALSE,FALSE
1164,canceled,9/1/15,14/1/15,5,FALSE,TRUE
170,canceled,9/1/15,16/8/15,219,FALSE,TRUE
467,canceled,10/1/15,2/7/15,173,FALSE,TRUE
780,canceled,11/1/15,18/2/15,38,FALSE,TRUE
418,canceled,11/1/15,18/7/15,188,FALSE,TRUE
1074,canceled,11/1/15,10/3/15,58,FALSE,TRUE
1074,canceled,10/3/15,18/4/15,39,FALSE,TRUE
859,canceled,11/1/15,18/2/15,38,FALSE,TRUE
859,canceled,15/11/14,22/11/14,7,FALSE,TRUE
91,canceled,10/11/14,10/3/15,120,FALSE,TRUE
91,current,10/3/15,,,FALSE,FALSE
12,current,10/11/14,,,FALSE,FALSE
3,canceled,10/11/14,10/3/15,120,FALSE,TRUE
3,current,10/3/15,,,FALSE,FALSE
157,canceled,10/11/14,10/3/15,120,FALSE,TRUE
157,canceled,10/3/15,17/7/15,129,FALSE,TRUE
224,current,10/11/14,,,FALSE,FALSE
562,current,10/11/14,,,FALSE,FALSE
1098,current,10/11/14,,,FALSE,FALSE
378,canceled,10/11/14,10/3/15,120,FALSE,TRUE
378,canceled,10/3/15,17/4/15,38,FALSE,TRUE
1214,canceled,10/11/14,15/1/15,66,FALSE,TRUE
483,canceled,10/11/14,20/4/15,161,FALSE,TRUE
1094,canceled,10/11/14,17/12/14,37,FALSE,TRUE
882,canceled,10/11/14,17/12/14,37,FALSE,TRUE
412,canceled,10/11/14,10/3/15,120,FALSE,TRUE
412,current,1/4/15,,,FALSE,FALSE
412,canceled,10/3/15,1/4/15,22,FALSE,TRUE
390,current,10/11/14,,,FALSE,FALSE
366,canceled,10/11/14,10/3/15,120,FALSE,TRUE
366,canceled,1/4/15,17/4/15,16,FALSE,TRUE
366,canceled,10/3/15,1/4/15,22,FALSE,TRUE
81,current,10/11/14,,,FALSE,FALSE
696,canceled,10/11/14,14/1/15,65,FALSE,TRUE
696,canceled,14/1/15,20/1/15,6,FALSE,TRUE
892,canceled,10/11/14,12/11/14,2,FALSE,TRUE
1142,canceled,10/11/14,14/1/15,65,FALSE,TRUE
1142,canceled,10/3/15,17/7/15,129,FALSE,TRUE
1142,canceled,14/1/15,10/3/15,55,FALSE,TRUE
234,current,11/11/14,,,FALSE,FALSE
148,canceled,11/11/14,10/3/15,119,FALSE,TRUE
148,canceled,1/4/15,18/4/15,17,FALSE,TRUE
148,canceled,10/3/15,1/4/15,22,FALSE,TRUE
630,canceled,11/11/14,18/3/15,127,FALSE,TRUE
1083,canceled,11/11/14,12/11/14,1,FALSE,TRUE
1011,canceled,11/11/14,12/11/14,1,FALSE,TRUE
1011,canceled,8/4/15,15/5/15,37,FALSE,TRUE
1114,canceled,12/11/14,18/11/14,6,FALSE,TRUE
161,canceled,12/11/14,19/5/15,188,FALSE,TRUE
441,canceled,12/11/14,19/6/15,219,FALSE,TRUE
712,canceled,13/11/14,20/3/15,127,FALSE,TRUE
273,current,14/11/14,,,FALSE,FALSE
76,canceled,14/11/14,15/11/14,1,FALSE,TRUE
76,current,15/1/15,,,FALSE,FALSE
76,canceled,15/11/14,15/1/15,61,FALSE,TRUE
938,canceled,14/11/14,16/1/15,63,FALSE,TRUE
131,current,14/11/14,,,FALSE,FALSE
231,current,14/11/14,,,FALSE,FALSE
1085,canceled,14/11/14,18/11/14,4,FALSE,TRUE
327,current,14/11/14,,,FALSE,FALSE
829,canceled,15/11/14,22/12/14,37,FALSE,TRUE
829,canceled,14/11/14,15/11/14,1,FALSE,TRUE
203,canceled,15/11/14,21/11/14,6,FALSE,TRUE
203,canceled,12/5/15,19/7/15,68,FALSE,TRUE
277,current,15/11/14,,,FALSE,FALSE
280,current,15/11/14,,,FALSE,FALSE
308,current,16/11/14,,,FALSE,FALSE
1239,canceled,17/11/14,19/11/14,2,FALSE,TRUE
1230,canceled,17/11/14,19/11/14,2,FALSE,TRUE
875,canceled,17/11/14,17/11/14,0,FALSE,TRUE
202,current,3/12/14,,,FALSE,FALSE
563,canceled,3/12/14,10/7/15,219,FALSE,TRUE
1167,canceled,3/12/14,10/1/15,38,FALSE,TRUE
643,canceled,3/12/14,3/2/15,62,FALSE,TRUE
643,canceled,10/3/15,8/4/15,29,FALSE,TRUE
643,current,18/4/15,,,FALSE,FALSE
643,canceled,8/4/15,18/4/15,10,FALSE,TRUE
643,canceled,3/2/15,10/3/15,35,FALSE,TRUE
110,canceled,3/12/14,10/5/15,158,FALSE,TRUE
244,current,4/12/14,,,FALSE,FALSE
1289,canceled,4/12/14,3/2/15,61,FALSE,TRUE
1120,canceled,4/12/14,4/12/14,0,FALSE,TRUE
500,canceled,5/12/14,3/2/15,60,FALSE,TRUE
500,canceled,12/11/14,17/11/14,5,FALSE,TRUE
500,current,3/2/15,,,FALSE,FALSE
728,canceled,5/12/14,5/12/14,0,FALSE,TRUE
209,current,5/12/14,,,FALSE,FALSE
292,current,5/12/14,,,FALSE,FALSE
546,current,5/12/14,,,FALSE,FALSE
1160,canceled,5/12/14,12/1/15,38,FALSE,TRUE
64,canceled,6/12/14,13/4/15,128,FALSE,TRUE
637,canceled,6/12/14,10/12/14,4,FALSE,TRUE
637,canceled,10/3/15,14/4/15,35,FALSE,TRUE
637,canceled,6/5/15,13/8/15,99,FALSE,TRUE
637,canceled,7/1/15,10/3/15,62,FALSE,TRUE
52,canceled,7/12/14,14/3/15,97,FALSE,TRUE
747,canceled,7/12/14,13/12/14,6,FALSE,TRUE
747,current,2/4/15,,,FALSE,FALSE
450,current,7/12/14,,,FALSE,FALSE
111,canceled,7/12/14,1/3/15,84,FALSE,TRUE
583,canceled,8/12/14,15/5/15,158,FALSE,TRUE
461,current,8/12/14,,,FALSE,FALSE
1199,canceled,8/12/14,15/1/15,38,FALSE,TRUE
743,canceled,9/12/14,16/1/15,38,FALSE,TRUE
474,canceled,9/12/14,16/3/15,97,FALSE,TRUE
960,canceled,9/12/14,15/12/14,6,FALSE,TRUE
667,canceled,9/12/14,16/1/15,38,FALSE,TRUE
1095,canceled,9/12/14,13/12/14,4,FALSE,TRUE
1095,canceled,6/6/15,13/8/15,68,FALSE,TRUE
79,canceled,9/12/14,16/7/15,219,FALSE,TRUE
691,canceled,7/1/15,10/1/15,3,FALSE,TRUE
66,current,7/1/15,,,FALSE,FALSE
197,canceled,7/1/15,14/6/15,158,FALSE,TRUE
67,canceled,7/1/15,14/3/15,66,FALSE,TRUE
678,canceled,8/1/15,15/2/15,38,FALSE,TRUE
873,canceled,8/1/15,30/1/15,22,FALSE,TRUE
623,canceled,8/1/15,15/4/15,97,FALSE,TRUE
623,canceled,7/12/14,14/12/14,7,FALSE,TRUE
791,current,8/1/15,,,FALSE,FALSE
507,canceled,9/1/15,10/3/15,60,FALSE,TRUE
507,current,10/3/15,,,FALSE,FALSE
488,current,9/1/15,,,FALSE,FALSE
488,canceled,15/11/14,20/11/14,5,FALSE,TRUE
270,canceled,9/1/15,31/5/15,142,FALSE,TRUE
362,canceled,9/1/15,5/2/15,27,FALSE,TRUE
362,canceled,5/2/15,16/4/15,70,FALSE,TRUE
263,canceled,10/1/15,17/4/15,97,FALSE,TRUE
263,current,12/8/15,,,FALSE,FALSE
263,canceled,1/6/15,8/7/15,37,FALSE,TRUE
965,canceled,10/1/15,17/4/15,97,FALSE,TRUE
761,canceled,11/1/15,18/2/15,38,FALSE,TRUE
1191,canceled,11/1/15,11/1/15,0,FALSE,TRUE
598,current,12/1/15,,,FALSE,FALSE
785,canceled,12/1/15,10/3/15,57,FALSE,TRUE
785,canceled,8/4/15,19/5/15,41,FALSE,TRUE
785,canceled,10/3/15,8/4/15,29,FALSE,TRUE
989,canceled,12/1/15,18/2/15,37,FALSE,TRUE
989,canceled,8/4/15,19/6/15,72,FALSE,TRUE
989,canceled,18/2/15,8/4/15,49,FALSE,TRUE
28,current,12/1/15,,,FALSE,FALSE
1293,canceled,8/12/14,10/12/14,2,FALSE,TRUE
166,current,8/12/14,,,FALSE,FALSE
682,canceled,8/12/14,15/12/14,7,FALSE,TRUE
682,canceled,7/12/14,7/12/14,0,FALSE,TRUE
682,canceled,8/4/15,15/5/15,37,FALSE,TRUE
1295,canceled,9/12/14,15/12/14,6,FALSE,TRUE
1295,canceled,17/7/15,22/7/15,5,FALSE,TRUE
695,canceled,9/12/14,15/12/14,6,FALSE,TRUE
671,canceled,9/12/14,3/2/15,56,FALSE,TRUE
907,canceled,9/12/14,15/12/14,6,FALSE,TRUE
1121,canceled,29/12/14,12/1/15,14,FALSE,TRUE
1121,canceled,11/11/14,29/12/14,48,FALSE,TRUE
1121,canceled,12/1/15,18/2/15,37,FALSE,TRUE
966,canceled,7/1/15,10/3/15,62,FALSE,TRUE
966,current,10/3/15,,,FALSE,FALSE
442,canceled,7/1/15,10/3/15,62,FALSE,TRUE
442,current,10/3/15,,,FALSE,FALSE
442,canceled,15/3/15,27/4/15,43,FALSE,TRUE
442,current,14/5/15,,,FALSE,FALSE
5,canceled,7/1/15,16/4/15,99,FALSE,TRUE
5,canceled,7/1/15,7/1/15,0,FALSE,TRUE
1283,canceled,7/1/15,10/1/15,3,FALSE,TRUE
592,current,7/1/15,,,FALSE,FALSE
1137,canceled,8/1/15,10/1/15,2,FALSE,TRUE
34,canceled,8/1/15,3/2/15,26,FALSE,TRUE
34,canceled,16/11/14,8/1/15,53,FALSE,TRUE
34,current,3/2/15,,,FALSE,FALSE
824,canceled,9/1/15,31/1/15,22,FALSE,TRUE
824,canceled,10/2/15,4/3/15,22,FALSE,TRUE
0,current,9/1/15,,,FALSE,FALSE
688,canceled,9/1/15,11/1/15,2,FALSE,TRUE
527,current,9/1/15,,,FALSE,FALSE
1304,canceled,10/1/15,10/3/15,59,TRUE,TRUE
1304,canceled,10/3/15,17/6/15,99,TRUE,TRUE
1060,canceled,11/1/15,18/2/15,38,FALSE,TRUE
1010,canceled,11/1/15,11/1/15,0,FALSE,TRUE
745,canceled,11/11/14,13/11/14,2,FALSE,TRUE
227,canceled,12/11/14,19/12/14,37,FALSE,TRUE
227,current,8/4/15,,,FALSE,FALSE
929,canceled,12/11/14,17/11/14,5,FALSE,TRUE
841,canceled,12/11/14,12/11/14,0,FALSE,TRUE
599,canceled,12/11/14,14/1/15,63,FALSE,TRUE
599,canceled,14/1/15,22/1/15,8,FALSE,TRUE
599,current,2/4/15,,,FALSE,FALSE
181,canceled,13/11/14,10/3/15,117,FALSE,TRUE
181,current,10/3/15,,,FALSE,FALSE
1035,canceled,13/11/14,13/11/14,0,FALSE,TRUE
1035,canceled,6/2/15,9/2/15,3,FALSE,TRUE
639,canceled,13/11/14,20/3/15,127,FALSE,TRUE
126,current,14/11/14,,,FALSE,FALSE
254,current,14/11/14,,,FALSE,FALSE
1303,canceled,14/11/14,14/1/15,61,FALSE,TRUE
1303,canceled,10/3/15,8/4/15,29,FALSE,TRUE
1303,canceled,8/4/15,21/4/15,13,FALSE,TRUE
1303,canceled,14/1/15,3/2/15,20,FALSE,TRUE
1303,canceled,3/2/15,10/3/15,35,FALSE,TRUE
969,canceled,14/11/14,22/12/14,38,FALSE,TRUE
869,canceled,14/11/14,21/11/14,7,FALSE,TRUE
972,canceled,15/11/14,14/1/15,60,FALSE,TRUE
972,canceled,14/1/15,10/3/15,55,FALSE,TRUE
